--- 0.1 0.05 0.01 0.001 0.1_diff 0.05_diff 0.01_diff 0.001_diff
SIM_334 884 464 97 7 9 9 -3 27
SIM_335 866 421 74 7 32 9 40 45
SIM_336 887 444 99 11 7 5 17 24
SIM_337 1056 552 121 15 -15 1 -91 -145
SIM_338 1001 492 102 9 4 7 -31 -90
SIM_339 816 395 82 5 24 11 66 95
SIM_340 1001 523 108 10 -2 6 -62 -90
SIM_341 966 472 78 12 28 4 -11 -55
SIM_342 816 388 71 5 35 11 73 95
SIM_343 1124 630 150 16 -44 0 -169 -213
SIM_344 849 437 86 7 20 9 24 62
SIM_345 756 364 63 2 43 14 97 155
SIM_346 803 386 73 4 33 12 75 108
SIM_347 869 434 91 11 15 5 27 42
SIM_348 907 467 87 16 19 0 -6 4
SIM_349 852 419 98 9 8 7 42 59
SIM_350 906 480 74 7 32 9 -19 5
SIM_351 759 369 56 3 50 13 92 152
SIM_352 916 499 110 16 -4 0 -38 -5
SIM_353 963 499 110 8 -4 8 -38 -52
SIM_354 748 351 67 5 39 11 110 163
SIM_355 785 383 77 6 29 10 78 126
SIM_356 1006 533 116 9 -10 7 -72 -95
SIM_357 911 498 127 21 -21 -5 -37 0
SIM_358 986 511 95 10 11 6 -50 -75
SIM_359 860 422 94 9 12 7 39 51
SIM_360 870 443 78 15 28 1 18 41
SIM_361 843 407 85 11 21 5 54 68
SIM_362 798 418 90 7 16 9 43 113
SIM_363 845 403 78 5 28 11 58 66
SIM_364 909 430 94 8 12 8 31 2
SIM_365 888 458 105 10 1 6 3 23
SIM_366 925 456 93 13 13 3 5 -14
SIM_367 957 482 96 7 10 9 -21 -46
SIM_368 821 383 69 10 37 6 78 90
SIM_369 960 485 98 12 8 4 -24 -49
SIM_370 850 417 83 7 23 9 44 61
SIM_371 881 429 88 7 18 9 32 30
SIM_372 808 386 75 8 31 8 75 103
SIM_373 909 462 93 10 13 6 -1 2
SIM_374 891 452 90 12 16 4 9 20
SIM_375 750 351 63 7 43 9 110 161
SIM_376 859 453 86 4 20 12 8 52
SIM_377 763 369 55 5 51 11 92 148
SIM_378 938 461 93 7 13 9 0 -27
SIM_379 790 378 77 5 29 11 83 121
SIM_380 916 448 82 6 24 10 13 -5
SIM_381 987 488 116 8 -10 8 -27 -76
SIM_382 901 479 97 14 9 2 -18 10
SIM_383 804 388 80 7 26 9 73 107
SIM_384 947 462 106 9 0 7 -1 -36
SIM_385 877 448 91 8 15 8 13 34
SIM_386 841 433 68 10 38 6 28 70
SIM_387 828 389 60 5 46 11 72 83
SIM_388 952 466 96 7 10 9 -5 -41
SIM_389 965 504 108 10 -2 6 -43 -54
SIM_390 729 356 67 8 39 8 105 182
SIM_391 761 352 58 8 48 8 109 150
SIM_392 851 415 76 7 30 9 46 60
SIM_393 945 492 108 17 -2 -1 -31 -34
SIM_394 857 426 75 6 31 10 35 54
SIM_395 1048 553 122 17 -16 -1 -92 -137
SIM_396 877 450 81 15 25 1 11 34
SIM_397 852 438 107 9 -1 7 23 59
SIM_398 847 435 86 7 20 9 26 64
SIM_399 783 350 53 4 53 12 111 128
SIM_400 866 444 94 10 12 6 17 45
SIM_401 799 383 72 5 34 11 78 112
SIM_402 945 471 100 8 6 8 -10 -34
SIM_403 965 489 110 9 -4 7 -28 -54
SIM_404 894 448 76 11 30 5 13 17
SIM_405 717 346 61 6 45 10 115 194
SIM_406 686 315 57 3 49 13 146 225
SIM_407 768 376 78 8 28 8 85 143
SIM_408 817 390 70 8 36 8 71 94
SIM_409 773 354 71 5 35 11 107 138
SIM_410 923 458 100 12 6 4 3 -12
SIM_411 883 430 82 6 24 10 31 28
SIM_412 934 498 118 10 -12 6 -37 -23
SIM_413 812 381 75 12 31 4 80 99
SIM_414 949 500 108 12 -2 4 -39 -38
SIM_415 883 432 84 10 22 6 29 28
SIM_416 882 442 85 13 21 3 19 29
SIM_417 1103 556 127 17 -21 -1 -95 -192
SIM_418 881 442 75 5 31 11 19 30
SIM_419 744 348 67 6 39 10 113 167
SIM_420 785 376 79 8 27 8 85 126
SIM_421 895 448 84 10 22 6 13 16
SIM_422 856 451 83 11 23 5 10 55
SIM_423 794 376 75 7 31 9 85 117
SIM_424 844 431 87 11 19 5 30 67
SIM_425 860 445 101 16 5 0 16 51
SIM_426 921 493 108 10 -2 6 -32 -10
SIM_427 899 446 99 9 7 7 15 12
SIM_428 834 427 60 10 46 6 34 77
SIM_429 915 488 96 6 10 10 -27 -4
SIM_430 855 427 89 11 17 5 34 56
SIM_431 1077 571 146 18 -40 -2 -110 -166
SIM_432 947 487 73 7 33 9 -26 -36
SIM_433 787 381 81 8 25 8 80 124
SIM_434 778 379 65 5 41 11 82 133
SIM_435 887 437 74 7 32 9 24 24
SIM_436 905 469 101 10 5 6 -8 6
SIM_437 923 453 103 12 3 4 8 -12
SIM_438 881 403 70 4 36 12 58 30
SIM_439 1066 552 114 14 -8 2 -91 -155
SIM_440 1103 595 140 15 -34 1 -134 -192
SIM_441 973 522 110 12 -4 4 -61 -62
SIM_442 832 403 78 9 28 7 58 79
SIM_443 842 412 62 6 44 10 49 69
SIM_444 922 438 93 6 13 10 23 -11
SIM_445 897 441 87 7 19 9 20 14
SIM_446 852 437 83 9 23 7 24 59
SIM_447 993 506 87 10 19 6 -45 -82
SIM_448 978 506 105 7 1 9 -45 -67
SIM_449 877 451 86 11 20 5 10 34
SIM_450 848 420 103 9 3 7 41 63
SIM_451 722 334 59 3 47 13 127 189
SIM_452 824 408 84 8 22 8 53 87
SIM_453 823 417 83 11 23 5 44 88
SIM_454 873 472 96 11 10 5 -11 38
SIM_455 756 381 66 7 40 9 80 155
SIM_456 926 419 86 7 20 9 42 -15
SIM_457 713 324 62 6 44 10 137 198
SIM_458 786 386 69 7 37 9 75 125
SIM_459 787 367 74 8 32 8 94 124
SIM_460 917 456 101 7 5 9 5 -6
SIM_461 894 455 90 10 16 6 6 17
SIM_462 868 425 89 7 17 9 36 43
SIM_463 1154 634 158 26 -52 -10 -173 -243
SIM_464 869 439 96 10 10 6 22 42
SIM_465 806 402 76 6 30 10 59 105
SIM_466 726 365 63 7 43 9 96 185
SIM_467 822 372 67 8 39 8 89 89
SIM_468 1068 530 121 14 -15 2 -69 -157
SIM_469 869 436 96 5 10 11 25 42
SIM_470 780 365 80 9 26 7 96 131
SIM_471 871 444 93 5 13 11 17 40
SIM_472 852 428 81 3 25 13 33 59
SIM_473 994 502 108 10 -2 6 -41 -83
SIM_474 813 386 66 4 40 12 75 98
SIM_475 1005 520 127 16 -21 0 -59 -94
SIM_476 779 390 72 3 34 13 71 132
SIM_477 909 455 99 11 7 5 6 2
SIM_478 803 361 66 7 40 9 100 108
SIM_479 945 496 111 10 -5 6 -35 -34
SIM_480 882 434 76 7 30 9 27 29
SIM_481 1026 532 138 14 -32 2 -71 -115
SIM_482 1037 556 130 21 -24 -5 -95 -126
SIM_483 935 477 104 8 2 8 -16 -24
SIM_484 884 462 88 5 18 11 -1 27
SIM_485 903 482 86 15 20 1 -21 8
SIM_486 867 431 65 5 41 11 30 44
SIM_487 873 437 108 7 -2 9 24 38
SIM_488 892 426 79 7 27 9 35 19
SIM_489 815 404 68 4 38 12 57 96
SIM_490 919 456 79 9 27 7 5 -8
SIM_491 709 329 60 5 46 11 132 202
SIM_492 868 428 79 7 27 9 33 43
SIM_493 1045 518 119 13 -13 3 -57 -134
SIM_494 819 398 73 3 33 13 63 92
